repo,api_type,response_time_ms,response_size_bytes,num_requests,status,error_message
airbnb/javascript,GraphQL,2001.3555999612436,36779,1,success,
vuejs/vue,REST,7069.670999771915,1445498,5,success,
public-apis/public-apis,REST,6166.368899983354,1494326,5,success,
facebook/react,REST,6729.973899899051,1668652,5,success,
twbs/bootstrap,GraphQL,1762.0679000392556,36293,1,success,
codecrafters-io/build-your-own-x,REST,6638.588399975561,1486255,5,success,
github/gitignore,REST,7602.487299940549,1489919,5,success,
github/gitignore,GraphQL,2686.364500084892,20859,1,success,
vuejs/vue,REST,6678.890600102022,1445498,5,success,
neovim/neovim,GraphQL,2184.01750002522,34676,1,success,
flutter/flutter,GraphQL,2423.601799993776,41096,1,success,
pallets/flask,GraphQL,1346.6231999918818,11875,1,success,
denoland/deno,REST,6483.742300071754,1422969,5,success,
golang/go,REST,6856.185000040568,1554899,5,success,
facebook/jest,GraphQL,1796.9477000879124,30545,1,success,
huggingface/transformers,REST,6387.93330010958,1678299,5,success,
vuejs/vue,GraphQL,1842.35490008723,33755,1,success,
tensorflow/tensorflow,GraphQL,2192.2332000685856,37868,1,success,
ohmyzsh/ohmyzsh,GraphQL,2662.3708999250084,36082,1,success,
denoland/deno,GraphQL,2105.802300036885,34245,1,success,
freeCodeCamp/freeCodeCamp,GraphQL,2126.256800023839,39053,1,success,
flutter/flutter,GraphQL,3139.924500021152,40946,1,success,
d3/d3,GraphQL,1564.1929999692366,13936,1,success,
huggingface/transformers,GraphQL,1948.6319000134245,35908,1,success,
sindresorhus/awesome,GraphQL,1870.6433000043035,22051,1,success,
pytorch/pytorch,REST,6735.693400260061,1622744,5,success,
prettier/prettier,GraphQL,1853.7089000456035,35519,1,success,
donnemartin/system-design-primer,GraphQL,2453.5280000418425,34331,1,success,
lodash/lodash,REST,6402.303899987601,1077084,5,success,
public-apis/public-apis,REST,6342.539399978705,1494326,5,success,
torvalds/linux,GraphQL,1348.9073999226093,9691,1,success,
github/copilot-docs,GraphQL,1637.4707999639213,8432,1,success,
nodejs/node,REST,6647.91549986694,1644984,5,success,
codecrafters-io/build-your-own-x,GraphQL,2040.6293000560254,32838,1,success,
trekhleb/javascript-algorithms,GraphQL,2047.9441999923438,34481,1,success,
facebook/react,GraphQL,2080.1037000492215,38229,1,success,
denoland/deno,GraphQL,2242.7908000536263,34245,1,success,
MarlinFirmware/Marlin,REST,5889.770900132135,1639851,5,success,
MarlinFirmware/Marlin,REST,6438.59349982813,1639851,5,success,
jwasham/coding-interview-university,REST,6225.491799879819,761949,5,success,
golang/go,GraphQL,2338.7672000098974,37345,1,success,
django/django,GraphQL,1803.8181000156328,23995,1,success,
freeCodeCamp/freeCodeCamp,REST,6138.990099891089,1742487,5,success,
github/gitignore,GraphQL,2222.6058000233024,20859,1,success,
golang/go,REST,6269.669099827297,1554899,5,success,
axios/axios,GraphQL,1952.2405000170693,35816,1,success,
golang/go,REST,6693.69459990412,1554899,5,success,
reduxjs/redux,REST,5801.042599836364,563277,5,success,
facebook/jest,REST,7587.252699886449,930395,5,success,
ohmyzsh/ohmyzsh,GraphQL,2218.08940009214,36082,1,success,
openai/gpt-3,GraphQL,1112.6499000238255,2300,1,success,
996icu/996.ICU,REST,4925.026799901389,291170,5,success,
facebook/jest,REST,7570.320500060916,930395,5,success,
axios/axios,GraphQL,1896.0169999627396,35816,1,success,
openai/gpt-3,GraphQL,1116.8626999715343,2300,1,success,
vuejs/vue,GraphQL,2515.7435999717563,33755,1,success,
NVIDIA/DeepLearningExamples,GraphQL,1956.147599965334,34555,1,success,
TheAlgorithms/Python,GraphQL,2082.2413000278175,36083,1,success,
TheAlgorithms/Python,REST,6435.80369988922,1643447,5,success,
pytorch/pytorch,REST,6586.951100151055,1622744,5,success,
EbookFoundation/free-programming-books,REST,6355.353699880652,1719236,5,success,
vercel/next.js,GraphQL,2208.8452000170946,37536,1,success,
axios/axios,GraphQL,2027.1419000346214,35816,1,success,
github/gitignore,REST,8011.821500142105,1489919,5,success,
reduxjs/redux,GraphQL,1532.564299996011,18639,1,success,
huggingface/transformers,REST,6504.139400087297,1678299,5,success,
jwasham/coding-interview-university,GraphQL,1593.9858000492677,22290,1,success,
996icu/996.ICU,GraphQL,1295.262600062415,9342,1,success,
996icu/996.ICU,GraphQL,1196.944999974221,9342,1,success,
facebook/jest,GraphQL,1630.7110999478027,30545,1,success,
reduxjs/redux,REST,5696.093700127676,563277,5,success,
codecrafters-io/build-your-own-x,GraphQL,1937.5714999623597,32838,1,success,
pallets/flask,GraphQL,1305.9028999414295,11875,1,success,
996icu/996.ICU,REST,5029.513999936171,291170,5,success,
neovim/neovim,REST,6204.28340008948,1484397,5,success,
openai/gpt-3,REST,4945.40130009409,42841,5,success,
torvalds/linux,REST,4935.759299900383,241405,5,success,
lodash/lodash,GraphQL,1717.193500022404,29265,1,success,
github/copilot-docs,REST,6425.902200047858,417328,5,success,
codecrafters-io/build-your-own-x,GraphQL,1905.1097000483423,32838,1,success,
microsoft/vscode,REST,8132.6326000271365,1884961,5,success,
EbookFoundation/free-programming-books,GraphQL,2414.100799942389,30691,1,success,
codecrafters-io/build-your-own-x,REST,7561.001999885775,1486255,5,success,
laravel/laravel,REST,5221.127299941145,264152,5,success,
NVIDIA/DeepLearningExamples,REST,6540.5658999225125,1633363,5,success,
twbs/bootstrap,REST,6245.797099894844,1683361,5,success,
jwasham/coding-interview-university,GraphQL,1752.5652999756858,22290,1,success,
angular/angular,GraphQL,2335.5326000601053,39313,1,success,
django/django,REST,6563.715500058606,1426382,5,success,
microsoft/vscode,REST,8597.242500050925,1884961,5,success,
reduxjs/redux,REST,6069.746599998325,563277,5,success,
vuejs/vue,REST,6344.706199830398,1445498,5,success,
prettier/prettier,GraphQL,2553.432400105521,35519,1,success,
golang/go,REST,7112.293499871157,1554899,5,success,
facebook/jest,REST,8251.697500119917,930395,5,success,
twbs/bootstrap,REST,6503.392599988729,1683361,5,success,
denoland/deno,REST,7530.242599896155,1422969,5,success,
NVIDIA/DeepLearningExamples,REST,7329.552199924365,1633363,5,success,
lodash/lodash,GraphQL,1969.5700000738725,29265,1,success,
huggingface/transformers,REST,6674.474000115879,1678299,5,success,
twbs/bootstrap,GraphQL,2342.9570000153035,36293,1,success,
facebook/jest,REST,7396.337499958463,930395,5,success,
torvalds/linux,GraphQL,1449.9132999917492,9691,1,success,
vuejs/vue,GraphQL,2312.619399977848,33755,1,success,
prettier/prettier,REST,7513.614300172776,1595316,5,success,
axios/axios,REST,6563.192099914886,1479972,5,success,
getify/You-Dont-Know-JS,GraphQL,1233.1256000325084,9551,1,success,
flutter/flutter,REST,6606.84429993853,1836065,5,success,
MarlinFirmware/Marlin,GraphQL,1886.0261000227183,36506,1,success,
donnemartin/system-design-primer,GraphQL,2755.1211999962106,34331,1,success,
airbnb/javascript,GraphQL,2992.446699994616,36779,1,success,
rust-lang/rust,GraphQL,2013.6982999974862,41650,1,success,
pytorch/pytorch,REST,6630.455299979076,1622856,5,success,
flutter/flutter,REST,6939.496500068344,1836065,5,success,
ohmyzsh/ohmyzsh,REST,6792.862199945375,1638153,5,success,
sindresorhus/awesome,REST,6236.469399998896,1480115,5,success,
github/copilot-docs,REST,6536.725100013427,417328,5,success,
kamranahmedse/developer-roadmap,GraphQL,2291.705399984494,32143,1,success,
denoland/deno,GraphQL,2440.9021000610664,34245,1,success,
nodejs/node,REST,6674.319499870762,1644984,5,success,
neovim/neovim,REST,6586.391799966805,1487735,5,success,
neovim/neovim,REST,6961.5645001176745,1487735,5,success,
996icu/996.ICU,REST,5054.744299966842,291170,5,success,
996icu/996.ICU,GraphQL,1285.1490000030026,9342,1,success,
prettier/prettier,REST,6381.825900054537,1595316,5,success,
vercel/next.js,REST,6994.692900101654,1567804,5,success,
microsoft/vscode,GraphQL,2663.33490004763,37195,1,success,
trekhleb/javascript-algorithms,GraphQL,2080.6161999935284,34481,1,success,
jwasham/coding-interview-university,GraphQL,1810.634099994786,22290,1,success,
twbs/bootstrap,REST,6487.205899902619,1683361,5,success,
public-apis/public-apis,REST,6794.69740006607,1494326,5,success,
nodejs/node,REST,6154.011300066486,1644984,5,success,
openai/gpt-3,REST,5015.528199961409,42841,5,success,
airbnb/javascript,GraphQL,2283.494699979201,36779,1,success,
golang/go,GraphQL,1928.3163000363857,37345,1,success,
huggingface/transformers,GraphQL,2630.0179000245407,35908,1,success,
prettier/prettier,REST,6364.664599765092,1595316,5,success,
vercel/next.js,REST,6197.51010008622,1567804,5,success,
github/copilot-docs,GraphQL,1546.7244000174105,8432,1,success,
openai/gpt-3,REST,5022.377400076948,42841,5,success,
facebook/react,GraphQL,1872.063699993305,38229,1,success,
huggingface/transformers,REST,6116.7107000947,1678299,5,success,
flutter/flutter,REST,6566.485499963164,1836065,5,success,
github/gitignore,REST,8012.006699922495,1489919,5,success,
airbnb/javascript,REST,6845.926299924031,1376586,5,success,
ant-design/ant-design,REST,6151.533699827269,1705865,5,success,
airbnb/javascript,REST,6654.002500232309,1376586,5,success,
denoland/deno,GraphQL,2027.675800025463,34245,1,success,
microsoft/vscode,REST,7165.241800015792,1884970,5,success,
openai/gpt-3,REST,4908.145099878311,42841,5,success,
ant-design/ant-design,GraphQL,2469.412999926135,35656,1,success,
NVIDIA/DeepLearningExamples,REST,6764.246699982323,1633363,5,success,
microsoft/PowerToys,GraphQL,2163.9414000092074,37962,1,success,
donnemartin/system-design-primer,REST,6987.11300001014,1515735,5,success,
axios/axios,REST,7301.792399957776,1479972,5,success,
rust-lang/rust,REST,6654.183999984525,1789109,5,success,
public-apis/public-apis,GraphQL,1730.31000001356,25016,1,success,
trekhleb/javascript-algorithms,GraphQL,1962.7588000148535,34481,1,success,
ant-design/ant-design,GraphQL,2144.961600075476,35690,1,success,
NVIDIA/DeepLearningExamples,GraphQL,2054.72929996904,34555,1,success,
golang/go,GraphQL,1868.8552000094205,37345,1,success,
tensorflow/tensorflow,GraphQL,2152.2819999372587,37868,1,success,
laravel/laravel,GraphQL,1706.0826999368146,10217,1,success,
mrdoob/three.js,GraphQL,1880.3655999945477,34898,1,success,
denoland/deno,REST,6229.746300028637,1422969,5,success,
codecrafters-io/build-your-own-x,GraphQL,2059.064600034617,32838,1,success,
golang/go,REST,7095.123200095259,1554899,5,success,
github/gitignore,GraphQL,2395.856100018136,20859,1,success,
donnemartin/system-design-primer,REST,6622.6740998681635,1515735,5,success,
rust-lang/rust,REST,6763.559100101702,1789109,5,success,
ant-design/ant-design,REST,6596.628199913539,1705865,5,success,
mrdoob/three.js,REST,6400.342599838041,1485487,5,success,
reduxjs/redux,GraphQL,1574.910999974236,18639,1,success,
microsoft/PowerToys,GraphQL,2136.323499958962,37962,1,success,
ant-design/ant-design,REST,6438.005200005136,1705865,5,success,
pallets/flask,REST,5585.753600113094,499322,5,success,
TheAlgorithms/Python,GraphQL,2199.7766999993473,36083,1,success,
prettier/prettier,GraphQL,3734.6821000101045,35519,1,success,
d3/d3,GraphQL,1580.2752999588847,13936,1,success,
TheAlgorithms/Python,GraphQL,2553.4871999407187,36083,1,success,
TheAlgorithms/Python,GraphQL,2059.775899979286,36083,1,success,
denoland/deno,REST,6210.672999848612,1422969,5,success,
jwasham/coding-interview-university,REST,6241.248000180349,761949,5,success,
django/django,GraphQL,2418.293199967593,23995,1,success,
donnemartin/system-design-primer,GraphQL,2326.4398000901565,34331,1,success,
ohmyzsh/ohmyzsh,REST,6772.296400275081,1638153,5,success,
torvalds/linux,GraphQL,1431.5807999810204,9691,1,success,
axios/axios,GraphQL,1983.2065000664443,35816,1,success,
microsoft/vscode,GraphQL,2300.4274000413716,37195,1,success,
flutter/flutter,GraphQL,3349.1788998944685,41074,1,success,
neovim/neovim,GraphQL,2842.5075999693945,34584,1,success,
mrdoob/three.js,GraphQL,2302.74620000273,34898,1,success,
facebook/react,REST,6498.590100090951,1668652,5,success,
rust-lang/rust,REST,8066.2268998567015,1789109,5,success,
nodejs/node,REST,7284.875800018199,1644984,5,success,
microsoft/vscode,REST,8060.591399902478,1884970,5,success,
facebook/react-native,GraphQL,3109.204399981536,39787,1,success,
sindresorhus/awesome,REST,6253.19020007737,1480115,5,success,
neovim/neovim,GraphQL,2454.283000086434,34702,1,success,
freeCodeCamp/freeCodeCamp,GraphQL,2483.284200076014,39053,1,success,
TheAlgorithms/Python,REST,6796.835499932058,1643447,5,success,
trekhleb/javascript-algorithms,REST,6481.727699982002,1456935,5,success,
EbookFoundation/free-programming-books,REST,7576.133299968205,1719236,5,success,
angular/angular,REST,6489.1489000292495,1722535,5,success,
github/gitignore,REST,7805.572600103915,1489919,5,success,
denoland/deno,GraphQL,2010.5708000482991,34245,1,success,
tensorflow/tensorflow,GraphQL,2626.401500077918,37868,1,success,
d3/d3,REST,5682.285600109026,560341,5,success,
TheAlgorithms/Python,REST,7238.213499891572,1643447,5,success,
getify/You-Dont-Know-JS,GraphQL,1348.0671000434086,9551,1,success,
public-apis/public-apis,REST,6276.277599972673,1494326,5,success,
django/django,GraphQL,1858.4379999665543,23995,1,success,
vuejs/vue,GraphQL,2264.4131000852212,33755,1,success,
prettier/prettier,REST,6537.474800017662,1595316,5,success,
microsoft/vscode,GraphQL,2727.810199954547,37149,1,success,
NVIDIA/DeepLearningExamples,GraphQL,2077.3719999706373,34555,1,success,
freeCodeCamp/freeCodeCamp,REST,6558.554199757054,1742487,5,success,
sindresorhus/awesome,GraphQL,2034.1555000049993,22051,1,success,
MarlinFirmware/Marlin,REST,6193.242899957113,1639851,5,success,
kamranahmedse/developer-roadmap,REST,6108.873500023037,1228483,5,success,
ohmyzsh/ohmyzsh,REST,6307.713900110684,1638153,5,success,
pallets/flask,REST,5573.176199803129,499322,5,success,
trekhleb/javascript-algorithms,GraphQL,2297.030600020662,34481,1,success,
microsoft/PowerToys,REST,7673.686300055124,1967328,5,success,
d3/d3,REST,5789.6390000823885,560341,5,success,
mrdoob/three.js,REST,6665.170599939302,1485487,5,success,
microsoft/vscode,GraphQL,2356.7165000131354,37149,1,success,
ant-design/ant-design,REST,6734.481300110929,1705865,5,success,
microsoft/PowerToys,REST,7542.856799904257,1967328,5,success,
996icu/996.ICU,REST,5053.710500011221,291170,5,success,
mrdoob/three.js,REST,6027.538500144146,1485487,5,success,
facebook/react-native,GraphQL,2502.9936999781057,39923,1,success,
kamranahmedse/developer-roadmap,GraphQL,2150.7346000289544,32143,1,success,
donnemartin/system-design-primer,REST,7056.482000043616,1515735,5,success,
sindresorhus/awesome,REST,6280.697700101882,1480115,5,success,
EbookFoundation/free-programming-books,REST,6649.173100129701,1719236,5,success,
sindresorhus/awesome,REST,6426.457200199366,1480115,5,success,
MarlinFirmware/Marlin,REST,6643.226799904369,1639851,5,success,
trekhleb/javascript-algorithms,REST,6484.0224999934435,1456935,5,success,
getify/You-Dont-Know-JS,GraphQL,1319.164799991995,9551,1,success,
tensorflow/tensorflow,REST,6298.357799882069,1440126,5,success,
lodash/lodash,REST,6733.692600042559,1077084,5,success,
d3/d3,REST,5508.360999985598,560341,5,success,
pytorch/pytorch,REST,6817.303399904631,1627987,5,success,
github/gitignore,GraphQL,2836.0965000465512,20859,1,success,
huggingface/transformers,GraphQL,2473.712300066836,35908,1,success,
trekhleb/javascript-algorithms,REST,6471.473599784076,1456935,5,success,
vercel/next.js,REST,6617.53710010089,1567804,5,success,
microsoft/PowerToys,REST,7548.722399980761,1967328,5,success,
lodash/lodash,REST,6498.343999730423,1077084,5,success,
axios/axios,REST,6432.3452999815345,1479972,5,success,
rust-lang/rust,REST,6185.5317997979,1789109,5,success,
django/django,GraphQL,2128.194299992174,23995,1,success,
jwasham/coding-interview-university,GraphQL,1704.4693999923766,22290,1,success,
tensorflow/tensorflow,GraphQL,2023.844499955885,37868,1,success,
laravel/laravel,GraphQL,1417.785600060597,10217,1,success,
openai/gpt-3,GraphQL,1077.5093999691308,2300,1,success,
facebook/jest,REST,7495.268199825659,930395,5,success,
flutter/flutter,REST,6431.922399904579,1837057,5,success,
huggingface/transformers,GraphQL,1900.8743999293074,35908,1,success,
laravel/laravel,REST,5242.974600056186,264152,5,success,
neovim/neovim,GraphQL,2233.808899996802,34702,1,success,
facebook/jest,GraphQL,1591.5887000737712,30545,1,success,
vercel/next.js,GraphQL,2403.040000004694,37536,1,success,
flutter/flutter,GraphQL,2709.528399980627,40937,1,success,
reduxjs/redux,GraphQL,1354.552699951455,18639,1,success,
angular/angular,GraphQL,2221.4178999420255,39058,1,success,
kamranahmedse/developer-roadmap,REST,6024.174599908292,1228483,5,success,
torvalds/linux,REST,5206.57430018764,241405,5,success,
donnemartin/system-design-primer,GraphQL,2611.338600050658,34331,1,success,
github/copilot-docs,REST,6668.607500032522,417328,5,success,
neovim/neovim,GraphQL,1913.244599942118,34702,1,success,
kamranahmedse/developer-roadmap,REST,6244.67640009243,1228483,5,success,
jwasham/coding-interview-university,REST,5694.354299805127,761949,5,success,
microsoft/PowerToys,GraphQL,2200.7482999470085,37962,1,success,
trekhleb/javascript-algorithms,GraphQL,2186.183499987237,34481,1,success,
d3/d3,REST,5546.223900048062,560341,5,success,
facebook/react-native,REST,6695.945600047708,1654053,5,success,
NVIDIA/DeepLearningExamples,REST,6727.546399924904,1633363,5,success,
prettier/prettier,GraphQL,2543.6191000044346,35519,1,success,
golang/go,REST,6706.932400004007,1554899,5,success,
huggingface/transformers,GraphQL,1851.5514999162406,35908,1,success,
facebook/jest,GraphQL,2086.3778999773785,30545,1,success,
laravel/laravel,REST,5575.046599959023,264152,5,success,
MarlinFirmware/Marlin,GraphQL,1996.2477999506518,36506,1,success,
mrdoob/three.js,GraphQL,1977.5176999391988,34898,1,success,
kubernetes/kubernetes,REST,6807.75989999529,2248784,5,success,
jwasham/coding-interview-university,REST,5853.0828999355435,761949,5,success,
ant-design/ant-design,REST,6953.70539999567,1705865,5,success,
laravel/laravel,GraphQL,1595.7487999694422,10217,1,success,
angular/angular,REST,6915.158300078474,1721098,5,success,
d3/d3,GraphQL,1669.3473000777885,13936,1,success,
kamranahmedse/developer-roadmap,GraphQL,2034.0364000294358,32143,1,success,
pallets/flask,REST,6535.1635998813435,499322,5,success,
django/django,REST,7087.0030000805855,1426382,5,success,
twbs/bootstrap,GraphQL,1965.487000066787,36293,1,success,
airbnb/javascript,REST,6808.098000125028,1376586,5,success,
mrdoob/three.js,GraphQL,2003.136400016956,34898,1,success,
pytorch/pytorch,GraphQL,3350.554100004956,40852,1,success,
microsoft/PowerToys,REST,7569.905600044876,1967328,5,success,
airbnb/javascript,GraphQL,2169.735400006175,36779,1,success,
getify/You-Dont-Know-JS,GraphQL,1327.643199940212,9551,1,success,
microsoft/PowerToys,REST,7934.0295002330095,1967328,5,success,
openai/gpt-3,REST,5089.373900089413,42841,5,success,
freeCodeCamp/freeCodeCamp,GraphQL,2062.24260001909,39053,1,success,
ant-design/ant-design,GraphQL,2162.201299914159,35690,1,success,
angular/angular,REST,6625.123900012113,1721098,5,success,
ant-design/ant-design,GraphQL,1979.2962999781594,35690,1,success,
github/gitignore,GraphQL,2400.97300009802,20859,1,success,
kamranahmedse/developer-roadmap,REST,5867.893699905835,1228483,5,success,
kamranahmedse/developer-roadmap,GraphQL,1779.9006999703124,32143,1,success,
ohmyzsh/ohmyzsh,REST,6894.617900019512,1638153,5,success,
ant-design/ant-design,GraphQL,2206.6923999227583,35690,1,success,
vuejs/vue,REST,6338.609299855307,1445498,5,success,
kubernetes/kubernetes,REST,6982.446599868126,2248784,5,success,
github/gitignore,GraphQL,1993.9690000610426,20859,1,success,
denoland/deno,GraphQL,2046.4423999655992,34245,1,success,
vuejs/vue,REST,6147.501899860799,1445498,5,success,
angular/angular,REST,6373.814899940044,1721098,5,success,
public-apis/public-apis,GraphQL,2092.9474000586197,25016,1,success,
denoland/deno,REST,6817.223199876025,1422969,5,success,
d3/d3,GraphQL,1458.9993000263348,13936,1,success,
pallets/flask,REST,5818.21709999349,499322,5,success,
freeCodeCamp/freeCodeCamp,REST,6418.761600041762,1742525,5,success,
996icu/996.ICU,GraphQL,1224.2095000110567,9342,1,success,
reduxjs/redux,REST,5454.1773000964895,563277,5,success,
lodash/lodash,GraphQL,1966.0083000781015,29265,1,success,
microsoft/PowerToys,GraphQL,2499.4871999369934,37962,1,success,
vercel/next.js,GraphQL,2114.9498999584466,37536,1,success,
reduxjs/redux,REST,5631.391600007191,563277,5,success,
